First Name,Last Name,Address,City,State,Zip Code,Phone,Email
Ankiths,reddy,manchenhalli,chikkabalapur,karnataka,561211,8877665544,ankitha@gmail.com
disha,s,santibaswad,belgavi,karnataka,561211,9988773322,disha@gmail.com
John,Doe,1234 Elm St,Springfield,IL,62701,555-1234,john.doe@example.com
Jane,Smith,5678 Oak Ave,Shelbyville,IL,62565,555-5678,jane.smith@example.com
Emily,Jones,9101 Pine Rd,Champaign,IL,61820,555-9101,emily.jones@example.com
Michael,Johnson,2468 Maple Ln,Peoria,IL,61614,555-2468,michael.johnson@example.com
Sarah,Wilson,1357 Birch Blvd,Decatur,IL,62521,555-1357,sarah.wilson@example.com
David,Brown,9753 Cedar Dr,Bloomington,IL,61701,555-9753,david.brown@example.com
Laura,Lee,4629 Birchwood Pl,Normal,IL,61761,555-4629,laura.lee@example.com
James,White,3582 Redwood Ct,Champaign,IL,61821,555-3582,james.white@example.com
Sophia,Martinez,4823 Willow Rd,Springfield,IL,62704,555-4823,sophia.martinez@example.com
Daniel,Garcia,1597 Oakwood Dr,Peoria,IL,61615,555-1597,daniel.garcia@example.com
